open,high,low,close,volume,timestamp
54124.35000000,54300.00000000,53914.73000000,54266.56000000,2529.30432700,1619762399999
54266.56000000,54450.00000000,54161.58000000,54415.00000000,1981.98655000,1619765999999
54415.00000000,54558.80000000,54250.92000000,54343.11000000,2243.08612600,1619769599999
54343.11000000,54672.31000000,54108.80000000,54526.61000000,1830.73100500,1619773199999
54526.60000000,54792.33000000,54305.00000000,54318.08000000,2470.60093300,1619776799999
54317.82000000,54498.98000000,54100.00000000,54164.67000000,1833.54809900,1619780399999
54164.67000000,54377.97000000,54051.11000000,54230.63000000,1728.18153600,1619783999999
54230.64000000,54738.96000000,54170.89000000,54655.81000000,2294.57296700,1619787599999
54655.81000000,55990.00000000,54409.70000000,55989.31000000,6279.54733000,1619791199999
55989.31000000,56308.16000000,55736.24000000,55952.19000000,6046.65200900,1619794799999
55952.19000000,57258.15000000,55952.19000000,57180.06000000,7194.74996000,1619798399999
57180.05000000,57385.00000000,56394.22000000,56707.28000000,5269.86987300,1619801999999
56707.27000000,56810.00000000,56277.39000000,56546.79000000,2866.94625600,1619805599999
56546.79000000,57055.74000000,56521.46000000,56857.47000000,2135.46555000,1619809199999
56857.48000000,57048.00000000,56780.47000000,57007.38000000,1584.40505900,1619812799999
57007.38000000,57032.15000000,56374.21000000,56757.34000000,2015.56343500,1619816399999
56757.34000000,57184.27000000,56646.97000000,56976.53000000,1302.52107100,1619819999999
56976.53000000,57427.09000000,56887.26000000,57119.75000000,2203.26179000,1619823599999
57119.76000000,57963.00000000,57090.80000000,57694.27000000,3720.46461200,1619827199999
57697.25000000,58088.00000000,57421.05000000,57811.42000000,3480.44951600,1619830799999
57809.99000000,58456.52000000,57470.77000000,58450.00000000,2988.38063400,1619834399999
58450.00000000,58458.07000000,57931.89000000,58100.00000000,2232.49915200,1619837999999
58100.01000000,58248.54000000,58031.86000000,58178.67000000,1395.61109800,1619841599999
58177.59000000,58245.33000000,57687.04000000,58052.37000000,2019.99844100,1619845199999
58052.37000000,58422.31000000,57896.85000000,58134.44000000,1754.77938700,1619848799999
58134.44000000,58239.64000000,57837.00000000,57894.91000000,1330.62420300,1619852399999
57894.90000000,58036.08000000,57585.55000000,57725.14000000,1624.49421700,1619855999999
57725.14000000,57930.00000000,57450.63000000,57450.63000000,2063.76279600,1619859599999
57450.63000000,57851.35000000,57116.16000000,57492.99000000,2610.64791600,1619863199999
57492.99000000,57666.66000000,57335.75000000,57384.00000000,1270.11978700,1619866799999
57384.00000000,57834.37000000,57383.33000000,57816.90000000,1245.51622900,1619870399999
57816.91000000,58043.01000000,57673.00000000,57764.15000000,1804.40644900,1619873999999
57764.15000000,58005.09000000,57525.00000000,57611.00000000,1688.84288000,1619877599999
57613.10000000,57681.00000000,57220.67000000,57430.78000000,1778.75684400,1619881199999
57430.79000000,57500.00000000,56956.14000000,57356.58000000,2104.61355400,1619884799999
57356.59000000,57712.69000000,57218.00000000,57495.59000000,1801.17963300,1619888399999
57495.60000000,57767.00000000,57492.78000000,57569.99000000,1620.87320700,1619891999999
57567.34000000,57650.00000000,57400.35000000,57610.52000000,1179.34856100,1619895599999
57610.51000000,57998.97000000,57444.03000000,57770.31000000,1757.35549500,1619899199999
57770.32000000,57877.39000000,57641.50000000,57679.99000000,1187.49349700,1619902799999
57680.00000000,57690.00000000,57372.01000000,57451.58000000,1247.75219200,1619906399999
57451.57000000,57716.27000000,57243.65000000,57657.75000000,1203.54005700,1619909999999
57660.31000000,57939.00000000,57580.70000000,57800.37000000,1209.30609100,1619913599999
57797.35000000,57911.02000000,57371.12000000,57442.25000000,1595.86368300,1619917199999
57442.25000000,57488.04000000,57275.00000000,57415.60000000,1386.91281100,1619920799999
57415.60000000,57700.00000000,57415.60000000,57650.00000000,819.29079700,1619924399999
57650.00000000,57694.99000000,56323.66000000,56450.19000000,3407.91929700,1619927999999
